203М ; Stantsiya Knyazevka ; Stantsiya Kchery ; 2023-07-01-04:53 ; 2023-07-01-09:53 ; 2518.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-28-15:26 ; 2023-05-28-19:22 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-05-31-09:15 ; 2023-05-31-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-05-31-14:00 ; 2023-05-31-17:56 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-03-09:15 ; 2023-06-03-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-03-13:43 ; 2023-06-03-17:39 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-06-09:15 ; 2023-06-06-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-06-15:10 ; 2023-06-06-19:06 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-09-09:15 ; 2023-06-09-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-09-15:36 ; 2023-06-09-19:32 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-12-09:15 ; 2023-06-12-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-12-14:53 ; 2023-06-12-18:49 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-15-09:15 ; 2023-06-15-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-15-14:29 ; 2023-06-15-18:25 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-18-09:15 ; 2023-06-18-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-18-13:47 ; 2023-06-18-17:43 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-21-09:15 ; 2023-06-21-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-21-16:11 ; 2023-06-21-20:07 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-24-09:15 ; 2023-06-24-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-24-14:00 ; 2023-06-24-17:56 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-27-09:15 ; 2023-06-27-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-27-15:43 ; 2023-06-27-19:39 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-06-30-09:15 ; 2023-06-30-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-06-30-14:32 ; 2023-06-30-18:28 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-03-09:15 ; 2023-07-03-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-03-14:57 ; 2023-07-03-18:53 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-06-09:15 ; 2023-07-06-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-06-13:45 ; 2023-07-06-17:41 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-09-09:15 ; 2023-07-09-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-09-14:41 ; 2023-07-09-18:37 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-12-09:15 ; 2023-07-12-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-12-13:49 ; 2023-07-12-17:45 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-15-09:15 ; 2023-07-15-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-15-14:44 ; 2023-07-15-18:40 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-18-09:15 ; 2023-07-18-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-18-16:11 ; 2023-07-18-20:07 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-21-09:15 ; 2023-07-21-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-21-14:07 ; 2023-07-21-18:03 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-24-09:15 ; 2023-07-24-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-24-13:54 ; 2023-07-24-17:50 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-27-09:15 ; 2023-07-27-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-27-14:37 ; 2023-07-27-18:33 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-07-30-09:15 ; 2023-07-30-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-07-30-15:50 ; 2023-07-30-19:46 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-02-09:15 ; 2023-08-02-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-02-13:55 ; 2023-08-02-17:51 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-05-09:15 ; 2023-08-05-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-05-15:01 ; 2023-08-05-18:57 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-08-09:15 ; 2023-08-08-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-08-14:50 ; 2023-08-08-18:46 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-11-09:15 ; 2023-08-11-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-11-14:58 ; 2023-08-11-18:54 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-14-09:15 ; 2023-08-14-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-14-14:06 ; 2023-08-14-18:02 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-17-09:15 ; 2023-08-17-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-17-14:32 ; 2023-08-17-18:28 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-20-09:15 ; 2023-08-20-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-20-16:02 ; 2023-08-20-19:58 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-23-09:15 ; 2023-08-23-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-23-13:43 ; 2023-08-23-17:39 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-26-09:15 ; 2023-08-26-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-26-15:30 ; 2023-08-26-19:26 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-08-29-09:15 ; 2023-08-29-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-08-29-13:48 ; 2023-08-29-17:44 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-01-09:15 ; 2023-09-01-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-01-13:50 ; 2023-09-01-17:46 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-04-09:15 ; 2023-09-04-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-04-15:20 ; 2023-09-04-19:16 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-07-09:15 ; 2023-09-07-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-07-14:16 ; 2023-09-07-18:12 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-10-09:15 ; 2023-09-10-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-10-15:47 ; 2023-09-10-19:43 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-13-09:15 ; 2023-09-13-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-13-15:30 ; 2023-09-13-19:26 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-16-09:15 ; 2023-09-16-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-16-13:52 ; 2023-09-16-17:48 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-19-09:15 ; 2023-09-19-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-19-16:10 ; 2023-09-19-20:06 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-22-09:15 ; 2023-09-22-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-22-15:56 ; 2023-09-22-19:52 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-25-09:15 ; 2023-09-25-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-25-14:11 ; 2023-09-25-18:07 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-09-28-09:15 ; 2023-09-28-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-09-28-14:07 ; 2023-09-28-18:03 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-01-09:15 ; 2023-10-01-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-01-14:33 ; 2023-10-01-18:29 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-04-09:15 ; 2023-10-04-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-04-15:49 ; 2023-10-04-19:45 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-07-09:15 ; 2023-10-07-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-07-15:21 ; 2023-10-07-19:17 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-10-09:15 ; 2023-10-10-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-10-15:55 ; 2023-10-10-19:51 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-13-09:15 ; 2023-10-13-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-13-13:51 ; 2023-10-13-17:47 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-16-09:15 ; 2023-10-16-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-16-15:25 ; 2023-10-16-19:21 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-19-09:15 ; 2023-10-19-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-19-15:04 ; 2023-10-19-19:00 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-22-09:15 ; 2023-10-22-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-22-14:26 ; 2023-10-22-18:22 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-25-09:15 ; 2023-10-25-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-25-15:10 ; 2023-10-25-19:06 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-28-09:15 ; 2023-10-28-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-28-16:07 ; 2023-10-28-20:03 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-10-31-09:15 ; 2023-10-31-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-10-31-15:28 ; 2023-10-31-19:24 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-03-09:15 ; 2023-11-03-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-03-15:22 ; 2023-11-03-19:18 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-06-09:15 ; 2023-11-06-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-06-15:23 ; 2023-11-06-19:19 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-09-09:15 ; 2023-11-09-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-09-13:44 ; 2023-11-09-17:40 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-12-09:15 ; 2023-11-12-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-12-15:35 ; 2023-11-12-19:31 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-15-09:15 ; 2023-11-15-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-15-14:29 ; 2023-11-15-18:25 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-18-09:15 ; 2023-11-18-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-18-15:45 ; 2023-11-18-19:41 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-21-09:15 ; 2023-11-21-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-21-14:36 ; 2023-11-21-18:32 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-24-09:15 ; 2023-11-24-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-24-16:02 ; 2023-11-24-19:58 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-27-09:15 ; 2023-11-27-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-27-15:31 ; 2023-11-27-19:27 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-11-30-09:15 ; 2023-11-30-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-11-30-14:45 ; 2023-11-30-18:41 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-03-09:15 ; 2023-12-03-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-03-14:14 ; 2023-12-03-18:10 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-06-09:15 ; 2023-12-06-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-06-15:06 ; 2023-12-06-19:02 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-09-09:15 ; 2023-12-09-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-09-15:17 ; 2023-12-09-19:13 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-12-09:15 ; 2023-12-12-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-12-15:40 ; 2023-12-12-19:36 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-15-09:15 ; 2023-12-15-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-15-16:01 ; 2023-12-15-19:57 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-18-09:15 ; 2023-12-18-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-18-15:18 ; 2023-12-18-19:14 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-21-09:15 ; 2023-12-21-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-21-14:46 ; 2023-12-21-18:42 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-24-09:15 ; 2023-12-24-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-24-15:13 ; 2023-12-24-19:09 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-27-09:15 ; 2023-12-27-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-27-14:59 ; 2023-12-27-18:55 ; 1984.0
101П ; Stantsiya Severnyy ; Stantsiya Kuklino ; 2023-12-30-09:15 ; 2023-12-30-13:12 ; 1984.0
102У ; Stantsiya Kuklino ; Stantsiya Severnyy ; 2023-12-30-14:23 ; 2023-12-30-18:19 ; 1984.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-01-23:57 ; 2023-07-03-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-03-05:27 ; 2023-07-04-08:07 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-04-23:57 ; 2023-07-06-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-06-04:52 ; 2023-07-07-07:32 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-07-23:57 ; 2023-07-09-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-09-03:33 ; 2023-07-10-06:13 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-10-23:57 ; 2023-07-12-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-12-04:10 ; 2023-07-13-06:50 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-13-23:57 ; 2023-07-15-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-15-04:08 ; 2023-07-16-06:48 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-16-23:57 ; 2023-07-18-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-18-03:43 ; 2023-07-19-06:23 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-19-23:57 ; 2023-07-21-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-21-04:53 ; 2023-07-22-07:33 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-22-23:57 ; 2023-07-24-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-24-04:11 ; 2023-07-25-06:51 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-25-23:57 ; 2023-07-27-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-27-03:18 ; 2023-07-28-05:58 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-28-23:57 ; 2023-07-30-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-07-30-05:04 ; 2023-07-31-07:44 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-07-31-23:57 ; 2023-08-02-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-02-03:29 ; 2023-08-03-06:09 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-03-23:57 ; 2023-08-05-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-05-03:59 ; 2023-08-06-06:39 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-06-23:57 ; 2023-08-08-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-08-03:53 ; 2023-08-09-06:33 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-09-23:57 ; 2023-08-11-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-11-04:05 ; 2023-08-12-06:45 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-12-23:57 ; 2023-08-14-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-14-04:38 ; 2023-08-15-07:18 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-15-23:57 ; 2023-08-17-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-17-04:46 ; 2023-08-18-07:26 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-18-23:57 ; 2023-08-20-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-20-03:46 ; 2023-08-21-06:26 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-21-23:57 ; 2023-08-23-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-23-04:08 ; 2023-08-24-06:48 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-24-23:57 ; 2023-08-26-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-26-05:23 ; 2023-08-27-08:03 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-27-23:57 ; 2023-08-29-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-08-29-05:08 ; 2023-08-30-07:48 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-08-30-23:57 ; 2023-09-01-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-01-05:19 ; 2023-09-02-07:59 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-02-23:57 ; 2023-09-04-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-04-04:24 ; 2023-09-05-07:04 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-05-23:57 ; 2023-09-07-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-07-03:20 ; 2023-09-08-06:00 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-08-23:57 ; 2023-09-10-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-10-03:30 ; 2023-09-11-06:10 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-11-23:57 ; 2023-09-13-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-13-05:34 ; 2023-09-14-08:14 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-14-23:57 ; 2023-09-16-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-16-05:29 ; 2023-09-17-08:09 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-17-23:57 ; 2023-09-19-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-19-04:54 ; 2023-09-20-07:34 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-20-23:57 ; 2023-09-22-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-22-03:23 ; 2023-09-23-06:03 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-23-23:57 ; 2023-09-25-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-25-04:52 ; 2023-09-26-07:32 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-26-23:57 ; 2023-09-28-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-09-28-03:25 ; 2023-09-29-06:05 ; 11520.0
663О ; Stantsiya Azotnaya ; Stantsiya Filaretovka ; 2023-09-29-23:57 ; 2023-10-01-02:38 ; 11520.0
664У ; Stantsiya Filaretovka ; Stantsiya Azotnaya ; 2023-10-01-04:48 ; 2023-10-02-07:28 ; 11520.0
285Н ; Stantsiya Kvarsa ; Stantsiya Irsa ; 2023-09-01-00:00 ; 2023-09-01-05:14 ; 2630.0
286П ; Stantsiya Irsa ; Stantsiya Kvarsa ; 2023-09-01-07:43 ; 2023-09-01-12:56 ; 2630.0
285Н ; Stantsiya Kvarsa ; Stantsiya Irsa ; 2023-09-04-00:00 ; 2023-09-04-05:14 ; 2630.0
286П ; Stantsiya Irsa ; Stantsiya Kvarsa ; 2023-09-04-07:51 ; 2023-09-04-13:04 ; 2630.0
285Н ; Stantsiya Kvarsa ; Stantsiya Irsa ; 2023-09-07-00:00 ; 2023-09-07-05:14 ; 2630.0
286П ; Stantsiya Irsa ; Stantsiya Kvarsa ; 2023-09-07-06:10 ; 2023-09-07-11:23 ; 2630.0
285Н ; Stantsiya Kvarsa ; Stantsiya Irsa ; 2023-09-10-00:00 ; 2023-09-10-05:14 ; 2630.0
286П ; Stantsiya Irsa ; Stantsiya Kvarsa ; 2023-09-10-06:35 ; 2023-09-10-11:48 ; 2630.0
